time,cnt,ir,red,green,spo2,hr,temp
11:32:39:966,28001,134303,110173,14347,0,0,0
11:32:39:987,28021,134321,110126,14317,0,0,0
11:32:39:988,28041,134407,110145,14352,0,0,0
11:32:40:010,28061,134381,110169,14358,0,0,0
11:32:40:034,28081,134389,110111,14394,0,0,0
11:32:40:054,28101,134441,110121,14384,0,0,0
11:32:40:074,28121,134445,110098,14375,0,0,0
11:32:40:088,28141,134530,110140,14421,0,0,0
11:32:40:111,28161,134585,110189,14382,0,0,0
11:32:40:141,28181,134629,110167,14435,0,0,0
11:32:40:156,28201,134694,110227,14435,0,0,0
11:32:40:166,28221,134786,110258,14412,0,0,0
11:32:40:189,28241,134947,110273,14486,0,0,0
11:32:40:213,28261,135062,110316,14475,0,0,0
11:32:40:235,28281,135127,110313,14490,0,0,0
11:32:40:262,28301,135220,110384,14530,0,0,0
11:32:40:268,28321,135266,110372,14506,0,0,0
11:32:40:292,28341,135352,110409,14536,0,0,0
11:32:40:325,28361,135391,110422,14552,0,0,0
11:32:40:362,28381,135396,110436,14557,0,0,0
11:32:40:367,28401,135407,110437,14566,0,0,0
11:32:40:367,28421,135355,110415,14539,0,0,0
11:32:40:392,28441,135283,110368,14578,0,0,0
11:32:40:415,28461,135082,110345,14508,0,0,0
11:32:40:437,28481,134814,110232,14479,0,0,0
11:32:40:448,28501,134649,110194,14441,0,0,0
11:32:40:481,28521,134482,110149,14358,0,0,0
11:32:40:503,28553,134463,110114,14368,101,0,0
11:32:40:515,28561,134437,110149,14346,0,0,0
11:32:40:553,28581,134426,110132,14324,0,0,0
11:32:40:553,28601,134543,110173,14375,0,0,0
11:32:40:580,28621,134622,110189,14374,0,0,0
11:32:40:595,28641,134698,110204,14439,0,0,0
11:32:40:618,28661,134803,110241,14443,0,0,0
11:32:40:628,28681,134802,110234,14455,0,0,0
11:32:40:651,28701,134853,110248,14452,0,0,0
11:32:40:686,28721,134859,110255,14438,0,0,0
11:32:40:695,28741,134836,110209,14480,0,0,0
11:32:40:718,28761,134833,110244,14453,0,0,0
11:32:40:750,28781,134789,110223,14439,0,0,0
11:32:40:751,28801,134830,110217,14472,0,0,0
11:32:40:787,28821,134813,110225,14443,0,0,0
11:32:40:796,28841,134786,110191,14448,0,0,0
11:32:40:819,28861,134822,110240,14470,0,0,0
11:32:40:832,28881,134805,110210,14450,0,0,0
11:32:40:853,28901,134880,110251,14466,0,0,0
11:32:40:886,28921,134902,110262,14448,0,0,0
11:32:40:899,28941,134924,110240,14474,0,0,0
11:32:40:920,28961,134988,110299,14501,0,0,0
11:32:40:955,28981,134996,110280,14479,0,0,0
11:32:40:955,29001,135060,110298,14498,0,0,0
11:32:40:977,29021,135068,110320,14493,0,0,0
11:32:40:996,29041,135090,110336,14528,0,0,0
11:32:41:008,29061,135128,110343,14519,0,0,0
11:32:41:030,29081,135103,110311,14478,0,0,0
11:32:41:054,29101,135067,110288,14529,0,0,0
11:32:41:076,29121,134950,110298,14468,0,0,0
11:32:41:100,29141,134744,110239,14444,0,0,0
11:32:41:111,29161,134611,110239,14394,0,0,0
11:32:41:149,29181,134470,110189,14342,0,0,0
11:32:41:153,29201,134433,110176,14342,0,0,0
11:32:41:178,29221,134397,110205,14329,0,0,0
11:32:41:212,29241,134344,110093,14329,0,0,0
11:32:41:235,29261,134369,110131,14333,0,0,0
11:32:41:235,29281,134347,110110,14319,0,0,0
11:32:41:255,29301,134404,110083,14327,0,0,0
11:32:41:281,29321,134472,110142,14322,0,0,0
11:32:41:302,29341,134503,110160,14327,0,0,0
11:32:41:313,29361,134568,110205,14364,0,0,0
11:32:41:351,29381,134570,110221,14329,0,0,0
11:32:41:368,29401,134580,110180,14383,0,0,0
11:32:41:378,29421,134582,110225,14420,0,0,0
11:32:41:402,29441,134576,110178,14399,0,0,0
11:32:41:414,29461,134591,110176,14414,0,0,0
11:32:41:436,29481,134579,110167,14348,0,0,0
11:32:41:468,29501,134608,110182,14359,0,0,0
11:32:41:482,29521,134597,110157,14374,0,0,0
11:32:41:494,29541,134668,110173,14401,0,0,0
11:32:41:516,29561,134679,110192,14385,0,0,0
11:32:41:548,29581,134741,110152,14424,0,0,0
11:32:41:559,29601,134776,110217,14415,0,0,0
11:32:41:582,29621,134770,110188,14408,0,0,0
11:32:41:604,29641,134808,110204,14439,0,0,0
11:32:41:616,29661,134825,110223,14421,0,0,0
11:32:41:638,29681,134853,110194,14444,0,0,0
11:32:41:664,29701,134905,110258,14439,0,0,0
11:32:41:687,29721,134902,110219,14445,0,0,0
11:32:41:719,29741,134899,110222,14454,0,0,0
11:32:41:720,29761,134742,110196,14415,0,0,0
11:32:41:757,29781,134539,110085,14364,0,0,0
11:32:41:762,29801,134308,110043,14300,0,0,0
11:32:41:812,29821,134100,109969,14196,0,0,0
11:32:41:812,29841,133954,109923,14141,0,0,0
11:32:41:818,29861,133846,109921,14074,0,0,0
11:32:41:843,29881,133756,109854,14051,0,0,0
11:32:41:865,29901,133774,109878,14038,0,0,0
11:32:41:877,29921,133754,109870,14006,0,0,0
11:32:41:911,29941,133823,109878,14064,0,0,0
11:32:41:934,29961,133861,109911,14050,0,0,0
11:32:41:965,29981,133935,109909,14093,0,0,0
11:32:41:965,30001,134017,109964,14095,0,0,0
11:32:41:976,30021,134067,109995,14101,0,0,0
11:32:42:003,30041,134157,109994,14171,0,0,0
11:32:42:026,30061,134130,110016,14112,0,0,0
11:32:42:046,30081,134148,109972,14153,0,0,0
11:32:42:069,30101,134196,110022,14194,0,0,0
11:32:42:080,30121,134189,110017,14154,0,0,0
11:32:42:114,30141,134230,110036,14179,0,0,0
